word1,word2,similarity_out_of_7,similarity
burger,sandwich,6,8.333333333333334
blue,violet,6,8.333333333333334
splash,wash,4,5.0
rust,rusty,7,10.0
snake,strawberry,1,0.0
arrow,boxer,1,0.0
room,staircase,4,5.0
cloud,kitten,1,0.0
moss,plant,5,6.666666666666667
guy,people,5,6.666666666666667
nail,wolf,1,0.0
hamster,party,1,0.0
glass,vinyl,6,8.333333333333334
boy,gate,1,0.0
city,mill,4,5.0
blossom,orange,3,3.3333333333333335
leave,play,1,0.0
mill,puddle,1,0.0
knit,stitch,5,6.666666666666667
tunnel,underground,5,6.666666666666667
lamb,mother,3,3.3333333333333335
run,train,4,5.0
bedroom,ceiling,5,6.666666666666667
explosion,table,1,0.0
dessert,eye,1,0.0
animal,sandwich,1,0.0
forest,tropical,5,6.666666666666667
bag,cop,1,0.0
husky,play,3,3.3333333333333335
daffodil,wool,2,1.6666666666666667
iron,rusty,5,6.666666666666667
patio,pool,5,6.666666666666667
leather,sunshine,2,1.6666666666666667
horse,work,4,5.0
red,yellow,6,8.333333333333334
green,number,1,0.0
dessert,head,1,0.0
costume,ocean,1,0.0
collage,stream,1,0.0
garden,house,5,6.666666666666667
fruit,strawberry,6,8.333333333333334
jean,shirt,6,8.333333333333334
bath,panorama,2,1.6666666666666667
airplane,camera,1,0.0
downtown,metro,5,6.666666666666667
blue,shade,5,6.666666666666667
dawn,sun,5,6.666666666666667
breakfast,sleep,2,1.6666666666666667
coin,musician,1,0.0
family,red,1,0.0
green,red,5,6.666666666666667
garage,kitchen,5,6.666666666666667
brick,porch,2,1.6666666666666667
eagle,feather,5,6.666666666666667
color,shade,6,8.333333333333334
lingerie,underground,1,0.0
harbor,sea,6,8.333333333333334
fun,sexy,4,5.0
cake,rusty,1,0.0
city,live,4,5.0
foot,outdoor,3,3.3333333333333335
nest,stork,5,6.666666666666667
cold,frozen,7,10.0
stripe,urban,1,0.0
river,scenery,5,6.666666666666667
bedroom,pool,4,5.0
diner,muscle,1,0.0
action,truck,1,0.0
lily,plant,6,8.333333333333334
fly,keyboard,2,1.6666666666666667
cute,fashion,3,3.3333333333333335
cooking,salad,5,6.666666666666667
lip,smile,6,8.333333333333334
bag,dude,1,0.0
cooking,food,6,8.333333333333334
church,porch,4,5.0
breakfast,kitchen,5,6.666666666666667
monkey,oak,2,1.6666666666666667
apartment,staircase,4,5.0
bag,wire,3,3.3333333333333335
guy,stand,2,1.6666666666666667
cat,kitten,7,10.0
giraffe,zebra,6,8.333333333333334
bacon,meat,6,8.333333333333334
sit,stop,4,5.0
interior,roof,5,6.666666666666667
bay,parking,2,1.6666666666666667
lunch,morning,4,5.0
brown,yellow,6,8.333333333333334
ocean,water,6,8.333333333333334
angel,sculpture,5,6.666666666666667
drive,lego,1,0.0
hill,scenery,5,6.666666666666667
bay,curve,2,1.6666666666666667
breakfast,night,3,3.3333333333333335
outfit,sock,5,6.666666666666667
guitar,nude,1,0.0
smile,stand,1,0.0
foliage,restaurant,1,0.0
apartment,bathroom,6,8.333333333333334
paint,puddle,2,1.6666666666666667
beef,meat,6,8.333333333333334
frost,winter,6,8.333333333333334
bathroom,room,6,8.333333333333334
beef,deer,4,5.0
black,cigarette,2,1.6666666666666667
