word1,word2,similarity_out_of_50,similarity
sun,sunlight,50.0,10.0
automobile,car,50.0,10.0
river,water,49.0,9.8
stairs,staircase,49.0,9.8
morning,sunrise,49.0,9.8
rain,storm,49.0,9.8
cat,kittens,49.0,9.8
dance,dancers,49.0,9.8
camera,photography,49.0,9.8
cat,feline,48.0,9.6
sunny,sunshine,48.0,9.6
pregnancy,pregnant,48.0,9.6
beach,sand,48.0,9.6
bakery,bread,48.0,9.6
flowers,garden,48.0,9.6
grass,lawn,48.0,9.6
copper,metal,48.0,9.6
photos,photography,47.0,9.4
cemetery,graveyard,47.0,9.4
gravestone,graveyard,47.0,9.4
sun,sunshine,47.0,9.4
black,dark,47.0,9.4
cathedral,church,47.0,9.4
frozen,ice,47.0,9.4
station,subway,47.0,9.4
children,kids,46.0,9.2
aquarium,fish,46.0,9.2
light,lighting,46.0,9.2
fungi,mushrooms,46.0,9.2
frost,snow,46.0,9.2
burn,flame,46.0,9.2
ocean,sea,46.0,9.2
candy,chocolate,46.0,9.2
car,vehicle,46.0,9.2
concert,music,46.0,9.2
photos,picture,46.0,9.2
grapes,wine,46.0,9.2
bath,bathroom,46.0,9.2
buds,flowers,46.0,9.2
cat,kitty,46.0,9.2
ocean,water,46.0,9.2
aircraft,airplane,46.0,9.2
butterfly,caterpillars,46.0,9.2
hair,wig,46.0,9.2
blossom,buds,46.0,9.2
highway,road,46.0,9.2
bunny,rabbit,46.0,9.2
bread,sandwich,46.0,9.2
mist,misty,46.0,9.2
flowers,petals,46.0,9.2
airplane,flight,46.0,9.2
fish,fishing,46.0,9.2
ice,snow,46.0,9.2
bright,sun,45.0,9.0
shade,tree,45.0,9.0
bicycle,bike,45.0,9.0
truck,vehicle,45.0,9.0
shore,water,45.0,9.0
boat,fishing,45.0,9.0
dog,puppy,45.0,9.0
bride,wedding,45.0,9.0
birds,hummingbird,45.0,9.0
sea,water,45.0,9.0
cow,milk,45.0,9.0
birds,feathers,45.0,9.0
skate,skating,45.0,9.0
chapel,church,45.0,9.0
branch,twigs,45.0,9.0
concert,musicians,45.0,9.0
clothes,dress,45.0,9.0
automobile,vehicle,45.0,9.0
splash,swimming,45.0,9.0
bed,furniture,45.0,9.0
aircraft,flight,45.0,9.0
reptiles,snake,45.0,9.0
motorcycle,scooter,45.0,9.0
coffee,tea,45.0,9.0
feathers,goose,45.0,9.0
pool,swimming,45.0,9.0
eyes,face,45.0,9.0
dirt,dirty,45.0,9.0
railway,train,45.0,9.0
harbour,port,45.0,9.0
fruit,strawberry,45.0,9.0
flight,plane,45.0,9.0
smoke,smoking,45.0,9.0
ivy,plant,45.0,9.0
river,stream,45.0,9.0
lake,water,45.0,9.0
kittens,kitty,45.0,9.0
snow,snowman,45.0,9.0
dog,terrier,45.0,9.0
daffodils,flowers,45.0,9.0
pond,water,45.0,9.0
show,television,44.0,8.8
handwriting,written,44.0,8.8
flood,water,44.0,8.8
jazz,musicians,44.0,8.8
eagle,feathers,44.0,8.8
grapes,vine,44.0,8.8
birds,hawk,44.0,8.8
clothes,outfit,44.0,8.8
exhibition,museum,44.0,8.8
hand,palm,44.0,8.8
grave,graveyard,44.0,8.8
berry,strawberry,44.0,8.8
forest,oak,44.0,8.8
crochet,knitting,44.0,8.8
birds,eagle,44.0,8.8
canine,puppy,44.0,8.8
bar,cocktail,44.0,8.8
bar,pub,44.0,8.8
sunlight,sunshine,44.0,8.8
apple,fruit,44.0,8.8
sun,sunrise,44.0,8.8
gymnastics,sports,44.0,8.8
sailing,ship,44.0,8.8
beach,sea,44.0,8.8
game,hockey,44.0,8.8
bed,pillow,44.0,8.8
daffodils,tulip,44.0,8.8
flowers,plant,44.0,8.8
fire,smoke,44.0,8.8
canine,dog,44.0,8.8
bracelet,jewelry,44.0,8.8
feline,kitty,44.0,8.8
architecture,building,44.0,8.8
shop,shopping,44.0,8.8
highway,traffic,44.0,8.8
lizard,reptiles,44.0,8.8
music,piano,44.0,8.8
strawberry,sweet,44.0,8.8
snow,winter,44.0,8.8
autumn,spring,44.0,8.8
bacon,meat,44.0,8.8
raspberry,strawberry,44.0,8.8
chipmunk,squirrel,44.0,8.8
coast,harbor,44.0,8.8
dress,skirt,44.0,8.8
sun,sunny,44.0,8.8
lily,tulip,44.0,8.8
grave,gravestone,44.0,8.8
bright,sunny,44.0,8.8
dandelion,plant,44.0,8.8
light,sunlight,44.0,8.8
hill,mountain,43.0,8.6
burger,food,43.0,8.6
sea,shore,43.0,8.6
feathers,peacock,43.0,8.6
children,mother,43.0,8.6
night,sunset,43.0,8.6
orange,peel,43.0,8.6
subway,train,43.0,8.6
camera,lens,43.0,8.6
daisy,petals,43.0,8.6
aircraft,wing,43.0,8.6
bloom,flowers,43.0,8.6
clothes,jacket,43.0,8.6
dinner,restaurant,43.0,8.6
swim,swimming,43.0,8.6
cemetery,gravestone,43.0,8.6
cigarette,smoke,43.0,8.6
shirt,skirt,43.0,8.6
baby,pregnant,43.0,8.6
cherry,fruit,43.0,8.6
beef,meat,43.0,8.6
blossom,daffodils,43.0,8.6
bloom,blossom,43.0,8.6
maple,oak,43.0,8.6
frost,winter,43.0,8.6
colour,pink,43.0,8.6
dog,poodle,43.0,8.6
lantern,light,43.0,8.6
coast,sea,43.0,8.6
tunnel,underground,43.0,8.6
dog,pets,43.0,8.6
hair,haircut,43.0,8.6
day,sunset,43.0,8.6
bikini,swimsuit,43.0,8.6
rail,railway,43.0,8.6
art,museum,43.0,8.6
painting,portrait,43.0,8.6
dress,wedding,43.0,8.6
poodle,puppy,43.0,8.6
port,ship,43.0,8.6
bloom,tulip,43.0,8.6
cold,winter,43.0,8.6
bakery,cake,43.0,8.6
building,roof,43.0,8.6
iron,steel,43.0,8.6
birds,stork,43.0,8.6
lily,plant,43.0,8.6
eat,food,43.0,8.6
bathroom,kitchen,43.0,8.6
jazz,music,43.0,8.6
fabric,wool,43.0,8.6
aquarium,tank,43.0,8.6
fire,flame,43.0,8.6
bloom,rose,43.0,8.6
leaf,nature,43.0,8.6
town,village,43.0,8.6
apple,orange,43.0,8.6
dawn,sunrise,43.0,8.6
engine,gasoline,43.0,8.6
oak,tree,43.0,8.6
guitar,piano,43.0,8.6
chocolate,dessert,43.0,8.6
cat,paws,43.0,8.6
birds,goose,43.0,8.6
blue,sky,43.0,8.6
pool,swim,43.0,8.6
bracelet,necklace,42.0,8.4
fruit,salad,42.0,8.4
eggs,nest,42.0,8.4
boat,sailing,42.0,8.4
birds,crow,42.0,8.4
birds,flamingo,42.0,8.4
day,sunshine,42.0,8.4
hockey,sports,42.0,8.4
burger,eat,42.0,8.4
fruit,raspberry,42.0,8.4
lunch,sandwich,42.0,8.4
feet,toes,42.0,8.4
baby,mother,42.0,8.4
amphibians,frog,42.0,8.4
burn,fire,42.0,8.4
hockey,ice,42.0,8.4
cold,frozen,42.0,8.4
oak,wood,42.0,8.4
photographer,photography,42.0,8.4
man,women,42.0,8.4
hair,redhead,42.0,8.4
harbor,port,42.0,8.4
pug,puppy,42.0,8.4
sunrise,sunset,42.0,8.4
leather,shoes,42.0,8.4
beach,shore,42.0,8.4
color,red,42.0,8.4
painted,painting,42.0,8.4
storm,wind,42.0,8.4
color,violet,42.0,8.4
rain,wet,42.0,8.4
diner,eat,42.0,8.4
bed,bedroom,42.0,8.4
guitar,musicians,42.0,8.4
petals,rose,42.0,8.4
rail,subway,42.0,8.4
holiday,vacation,42.0,8.4
bed,sleep,42.0,8.4
cigarette,smoking,42.0,8.4
airplane,plane,42.0,8.4
daffodils,plant,42.0,8.4
diner,kitchen,42.0,8.4
coins,silver,42.0,8.4
cake,chocolate,42.0,8.4
evening,night,42.0,8.4
race,racing,42.0,8.4
flight,flying,42.0,8.4
face,lips,42.0,8.4
berry,raspberry,42.0,8.4
lamp,light,42.0,8.4
birds,nest,42.0,8.4
mother,pregnant,42.0,8.4
animals,pets,42.0,8.4
butterfly,insects,42.0,8.4
sky,sunrise,42.0,8.4
canine,husky,42.0,8.4
food,meat,42.0,8.4
cloud,sky,42.0,8.4
crow,feathers,42.0,8.4
blossom,flowers,42.0,8.4
splash,swim,42.0,8.4
band,musicians,42.0,8.4
cactus,plant,42.0,8.4
eagle,hawk,42.0,8.4
harbour,sea,42.0,8.4
flowers,foliage,42.0,8.4
red,violet,42.0,8.4
music,sing,42.0,8.4
breakfast,morning,42.0,8.4
cafe,restaurant,42.0,8.4
beach,coast,42.0,8.4
puddle,splash,42.0,8.4
birds,pelican,42.0,8.4
clothes,socks,42.0,8.4
amphibians,lizard,41.0,8.2
daughter,son,41.0,8.2
car,motor,41.0,8.2
amphibians,reptiles,41.0,8.2
day,morning,41.0,8.2
aircraft,flying,41.0,8.2
airplane,airport,41.0,8.2
metro,train,41.0,8.2
band,music,41.0,8.2
shadow,sunlight,41.0,8.2
night,sleep,41.0,8.2
salad,soup,41.0,8.2
porch,roof,41.0,8.2
eyes,tears,41.0,8.2
colour,rainbow,41.0,8.2
berry,fruit,41.0,8.2
red,yellow,41.0,8.2
socks,stockings,41.0,8.2
flamingo,hummingbird,41.0,8.2
tree,twigs,41.0,8.2
kiss,lips,41.0,8.2
burger,sandwich,41.0,8.2
pregnant,women,41.0,8.2
rain,weather,41.0,8.2
dinner,eat,41.0,8.2
feathers,hawk,41.0,8.2
animals,zoo,41.0,8.2
duck,mallard,41.0,8.2
mountain,valley,41.0,8.2
beach,harbour,41.0,8.2
musicians,rock,41.0,8.2
band,guitar,41.0,8.2
car,garage,41.0,8.2
feet,leg,41.0,8.2
sky,sunlight,41.0,8.2
mist,rain,41.0,8.2
mother,son,41.0,8.2
airplane,wing,41.0,8.2
colour,red,41.0,8.2
music,musicians,41.0,8.2
bay,beach,41.0,8.2
blonde,redhead,41.0,8.2
petals,plant,41.0,8.2
kitchen,room,41.0,8.2
lingerie,sexy,41.0,8.2
automobile,parking,41.0,8.2
bar,restaurant,41.0,8.2
bedroom,room,41.0,8.2
bus,taxi,41.0,8.2
fun,happy,41.0,8.2
station,train,41.0,8.2
pelican,stork,41.0,8.2
black,grey,41.0,8.2
orange,yellow,41.0,8.2
foliage,petals,41.0,8.2
park,parking,41.0,8.2
lips,tongue,41.0,8.2
fog,misty,41.0,8.2
canine,poodle,41.0,8.2
bath,washing,41.0,8.2
foliage,tree,41.0,8.2
panorama,view,41.0,8.2
bloom,daisy,41.0,8.2
escalator,stairs,41.0,8.2
petals,tulip,41.0,8.2
fishing,sea,41.0,8.2
beef,cattle,41.0,8.2
noodles,rice,41.0,8.2
birds,parrot,41.0,8.2
fruit,orange,41.0,8.2
mural,painting,41.0,8.2
airport,flight,41.0,8.2
shopping,store,41.0,8.2
summer,sunny,41.0,8.2
road,sidewalk,41.0,8.2
airplane,flying,41.0,8.2
guitar,music,40.0,8.0
cat,whiskers,40.0,8.0
family,friends,40.0,8.0
bloom,petals,40.0,8.0
musicians,piano,40.0,8.0
dirty,washing,40.0,8.0
elephant,giraffe,40.0,8.0
puppy,terrier,40.0,8.0
breakfast,kitchen,40.0,8.0
subway,underground,40.0,8.0
sand,shore,40.0,8.0
butterfly,dragonfly,40.0,8.0
cheetah,lion,40.0,8.0
color,yellow,40.0,8.0
door,locked,40.0,8.0
bright,sunlight,40.0,8.0
van,vehicle,40.0,8.0
orange,red,40.0,8.0
beetles,insects,40.0,8.0
kids,mom,40.0,8.0
daughter,mother,40.0,8.0
children,school,40.0,8.0
giraffe,zebra,40.0,8.0
harbor,harbour,40.0,8.0
lamb,sheep,40.0,8.0
heart,love,40.0,8.0
lily,rose,40.0,8.0
asphalt,road,40.0,8.0
morning,sunny,40.0,8.0
coast,shore,40.0,8.0
sunny,sunset,40.0,8.0
nest,twigs,40.0,8.0
happy,smile,40.0,8.0
figure,skating,40.0,8.0
rail,train,40.0,8.0
door,wall,40.0,8.0
dawn,sun,40.0,8.0
feathers,stork,40.0,8.0
morning,sunshine,40.0,8.0
building,construction,40.0,8.0
cafe,coffee,40.0,8.0
bloom,buds,40.0,8.0
jacket,leather,40.0,8.0
map,travel,40.0,8.0
plant,seed,40.0,8.0
city,metro,40.0,8.0
pebbles,sand,40.0,8.0
